event_name,platforms
CHCH Presents: Spotlight on Tuscany with Collette,Not Found
Acute Care of at-Risk Newborns (ACoRN) Provider - FEB 24 &25,AXS
Paint Nite  Art Event in Hamilton. Fun creative event. Paint Party.,Not Found
Truffle Making 101 (Hamilton Location),Not Found
Classic Chocolate Making Workshop (Hamilton),Not Found
Chocolate Masterclass (Hamilton Location),Not Found
"25th February Paint Night at Boston Pizza, Waterdown",Not Found
Hamilton All Star Jazz Band presents: Big Band Classics,Not Found
Foe's Show @Aquanova Brewing Co. | Stand-Up Comedy Show,Not Found
Yoga Nidra with Dizzy,Not Found
Tea & Toner: A Galentine' Tea Blending Experience,Not Found
Pizza Making Workshop (Hamilton Location),Not Found
Sourdough Bread Making Workshop (Hamilton),Not Found
Cooking Caramel Treats (Hamilton Location),Not Found
Sugar Cookie Decorating Class (Hamilton),Not Found
Neonatal Resuscitation Program (NRP)  Advanced Provider - FEB  24,Not Found
Invasive Ventilation for Community Care Practitioners  -  FEB 27,Not Found
Blissful Bao Making Class,Not Found
Harrington's Jewellery and Timepieces Buying Event-By Appointment only,Not Found
Wednesday Trivia at Shawn and Eds (Dundas),AXS
Hamilton LeadTribes In-Person,Not Found
"Salesforce Admin Certification Training in Hamilton, ON",Not Found
"Salesforce Platform App Builder Certification Training in Hamilton, ON",Not Found
"Agile and Scrum Certification Training in Hamilton, ON",Not Found
"PMP Certification 4 Days Classroom Training in Hamilton, ON",Not Found
Write On! Write Now,Not Found
"Combo Lean 6 Sigma (Green + Black Belt) Cert Training in Hamilton, ON",Not Found
Stand-up Comedy Workshop: Back to Basics with Scott Faulconbridge,Not Found
FEVER DREAM with DJ NICHOLAS PICHOLAS,Not Found
"SONS OF BUTCHER ""Makin' Bacon"" Single Release @ RIDICULOUS (Hamilton)",Not Found
The Hell Bent Rockers 15th Anniversary Celebration by Steelore Presents,Not Found
Painting Class with Julia Veenstra,Not Found
HMC Presents: Tom Wilson Sings Jazz!,Not Found
ANCIENT SHAPES AT INTO THE ABYSS,Not Found
Mike Rita live in Hamilton,Not Found
Whaddies 2026,Not Found
HMC Presents: TH&B! Septet,AXS
"""Ready, Set, Register!"" Burlington, ON",Not Found
Galentine's Day Dance Party @ KICKS,Not Found
Brands & Buyers Brunch,Not Found
Heated Rivalry Party,"StubHub,TicketWeb,TicketWeb,Ticketmaster"
Hamilton Pro Wrestling - We ❤︎ Wrestling 6!,Not Found
2026 New Judges Dinner,Not Found
The Concrete Mixer 2026,Not Found
Masoud Sadeghloo concert,Not Found
Wealth Summit 2026 - Protect. Multiply. Preserve.,Not Found
Banff Mountain Film Festival World Tour,"StubHub,Ticketmaster"
See Randall Wallace writer of Braveheart /The Resurrection of the Christ,Not Found
The Snow Moon Sessions with ONION HONEY and special guest FOOL'S GOLD,Not Found
The Strongman Blues Studio Acoustic Sessions II,Not Found
BellyDance On The Block,Not Found
Charcuterie Board Class,Not Found
"Hope Jar Writing Circle: Reflect, write, decorate, and honour your hope!",Not Found
Hamilton Winterfest presents Frost Queens - ALL AGES,Not Found
VALENTINE'S Blood on the Clocktower: A Hidden-Identity Large Group Game,Not Found
2026 MIGH X PIH Canada Global Health Case Competition,Not Found
X-tasty (10 year anniversary show),Not Found
Ladies' Business Networking Meeting: Elevate & Connect (February),Not Found
Puffy Heart Garland Workshop,Not Found
STEVE STRONGMAN Feb 1 at The SHED!,Not Found
Misdirection: Magic and Mind Reading Show | Hamilton,Not Found
Hamilton Wedding Expo Winter 2026,Not Found
Weird Art Hang: Stuffed Animal Taxidermy,Not Found
DRAWING and PAINTING  for Kids,Not Found
"Risky Business '80s Night - Saturday, February 7, 2026",Not Found
The Founder's Circle: A Galentine Business Workshop,Not Found
Outstanding Oakville Scavenger Hunt,Not Found
Full Moon Ceremony,Not Found
Blues and Roots Matinee Sessions at The Upper Coach,Not Found
Honky Tonk Heroes: An Evening Of Classic Country Music,Not Found
NRP Refresher Course for MCH NICU Team - FEB 05 (AM),Not Found
Judge & Jury Stand-up Comedy,Not Found
Oakville Speed Dating (Ages 45-55F/48-58M),Not Found
Valentine's Make & Decorate Your Own Dough Bowl Candle Centerpiece!,Not Found
Gintervention - a Zero-Proof Mixology Class,Not Found
Tea on the Ton - A Bridgerton Inspired Tea on the Train,Not Found
Full Moon Cacao Ceremony,Not Found
Burlington Business Networking Meeting (February),Not Found
Fundamentals of Tracheostomy Care -  FEB 06,Not Found
Valentine's Cookie Class,Not Found
Crystal Bowl + Sound Bath to Clear Stress,Not Found
0 to 1 Million Followers - Digital Scaling Masterclass,Not Found
Decoding Inflation & Economic Indicators - 1 Day Session in Burlington,Not Found
Sip & Pour: Galentines Day Edition,Not Found
Galentine's Paint Night,Not Found
Ecstatic Dance & Cacao Ceremony with Sound Healing,Not Found
Peer Support Group,Not Found
Medical Aesthetic Coffee Chat,Not Found
Valentine's Day - Paint a pottery mug for couples in Oakville,Not Found
Power BI & Tableau Data Visualisation Basics: 1 Day Session in Burlington,Not Found
Applied Python for Data Science: 1 Day Workshop in Burlington,Not Found
Mid-Life Retirement Planning Essentials: 1 Day Session in Burlington,Not Found
PHP & MySQL Fundamentals: 1 Day Workshop in Burlington,Not Found
Espresso Essentials & Milk Steaming 101 @ ECS Coffee Burlington,Not Found
Relaxation Yoga with Bunnies,Not Found
Paint Nite Brand Creative Events,Not Found
Family Paint Party,Not Found
Paint & Unwind: Guided Canvas Painting at Terra Greenhouse - Burlington,Not Found
"Combo Lean 6 Sigma (Green + Black Belt) Cert Training in Burlington, ON",Not Found
Heartsaver� CPR AED - Level C - FEB 20 PM,Not Found
